"Lyford Plots 1-3",,"Harvard Forest, MA",,"Plot centers: 42.53065 N, -72.18346 W (LF1); 42.53128 N, -72.18271 W (LF2); 42.53008 N, -72.18246 W (LF3)",,,,,,,
"Sampling Dates: 05/06/2013 (LF1 Trees 1-21), 11/03/2014 (LF1 Trees 22-43), and 06/19/2015 (LF1 Trees 44-64); 05/06/2013 (LF2 Trees 1-31), 11/03/2014 (LF2 Trees 32-50), and 06/19/2015 (LF2 Trees 51-71); 05/06/2013 (LF3 Trees 1-27), 11/03/2014 (LF3 Trees 28-54), and 06/19/2015 (LF3 Trees 55-86)",,,,,,,,,,,
,,,,,,,,,,,
"Site","Tree Number","Species","Canopy","Status","DBH","Distance","Azimuth","Tag","DistTop","AzTop","Decay"
"LF1",1,"TSCA","suppressed","Li",18.1,7.6,20,2693,"NA","NA","NA"
"LF1",2,"QURU","dominant","Li",66,7.2,36,2703,"NA","NA","NA"
"LF1",3,"ACRU","suppressed","Li",22.3,7.5,52,2716,"NA","NA","NA"
"LF1",4,"ACRU","intermediate","Li",30.4,10.6,48,2719,"NA","NA","NA"
"LF1",5,"ACRU","suppressed","Li",15.6,9.7,44,2714,"NA","NA","NA"
"LF1",6,"ACRU","suppressed","Lo",12,9.7,44,2711,11.2,22,2
"LF1",7,"BEAL","intermediate","Li",30,11.9,78,2740,"NA","NA","NA"
"LF1",8,"TSCA","suppressed","Li",14.6,6.1,96,5936,"NA","NA","NA"
"LF1",9,"FAGR","dominant","Li",33.9,3.3,112,3561,"NA","NA","NA"
"LF1",10,"ACRU","dominant","Li",29.4,8.4,136,3571,"NA","NA","NA"
"LF1",11,"ACRU","suppressed","Li",20.6,12.8,142,3582,"NA","NA","NA"
"LF1",12,"QURU","dominant","Li",59,7.8,210,3850,"NA","NA","NA"
"LF1",13,"QURU","intermediate","Li",43,4.3,190,3867,"NA","NA","NA"
"LF1",14,"NA","suppressed","dead",23.6,8.4,226,3844,"NA","NA","NA"
"LF1",15,"QURU","intermediate","Li",49.4,12.4,234,3820,"NA","NA","NA"
"LF1",16,"QURU","codominant","Li",41.9,12,218,3839,"NA","NA","NA"
"LF1",17,"FAGR","suppressed","Li",10.3,3.2,266,3877,"NA","NA","NA"
"LF1",18,"ACRU","codominant","Li",26,3.4,346,3026,"NA","NA","NA"
"LF1",19,"TSCA","suppressed","Li",10.4,6.4,294,5501,"NA","NA","NA"
"LF1",20,"QURU","dominant","Li",69,9.5,276,2994,"NA","NA","NA"
"LF1",21,"BEAL","suppressed","Li",20.1,11.1,302,2990,"NA","NA","NA"
"LF1",22,"QURU","dominant","Li",67.5,13.3,10,3034,"NA","NA","NA"
"LF1",23,"PIST","suppressed","Li",26.9,19.8,16,2689,"NA","NA","NA"
"LF1",24,"TSCA","suppressed","Li",23.4,18.3,31,2726,"NA","NA","NA"
"LF1",25,"BEAL","codominant","Li",34,20,39,2751,"NA","NA","NA"
"LF1",26,"TSCA","suppressed","Li",23.7,13.3,45,2729,"NA","NA","NA"
"LF1",27,"TSCA","suppressed","Li",20.1,17.4,77,2768,"NA","NA","NA"
"LF1",28,"TSCA","intermediate","Li",21.4,13.3,85,2756,"NA","NA","NA"
"LF1",29,"BEAL","codominant","Sn",36.5,16.4,98,2778,17.4,106,2
"LF1",30,"QURU","codominant","Li",44.6,18.1,131,3623,"NA","NA","NA"
"LF1",31,"QURU","suppressed","Li",28.6,16.3,138,3608,"NA","NA","NA"
"LF1",32,"QURU","dominant","Li",63.2,13.3,148,3588,"NA","NA","NA"
"LF1",33,"QURU","codominant","Li",50.6,19.7,143,3610,"NA","NA","NA"
"LF1",34,"BELE","suppressed","Li",27.4,19.7,164,3574,"NA","NA","NA"
"LF1",35,"ACRU","suppressed","Li",28.1,13.8,201,3855,"NA","NA","NA"
"LF1",36,"QURU","codominant","Li",37.5,18.6,191,3856,"NA","NA","NA"
"LF1",37,"QURU","codominant","Li",39.5,15,222,3839,"NA","NA","NA"
"LF1",38,"FAGR","suppressed","Li",38.8,14.8,261,3810,"NA","NA","NA"
"LF1",39,"ACRU","suppressed","Li",21.7,19.6,274,3771,"NA","NA","NA"
"LF1",40,"QURU","codominant","Li",53.9,14.3,275,3800,"NA","NA","NA"
"LF1",41,"QURU","codominant","Li",43.2,15.4,282,3793,"NA","NA","NA"
"LF1",42,"QURU","codominant","Li",53.4,17.8,296,2946,"NA","NA","NA"
"LF1",43,"ACRU","suppressed","Li",21,13.4,315,2981,"NA","NA","NA"
"LF1",44,"ACRU","codominant","Lo",25.8,3.5,322,3926,6.7,160,1
"LF1",45,"NA","codominant","Lo",42.1,17,350,"NA",4.8,290,3
"LF1",46,"NA","NA","Sh",37.2,9.6,262,"NA","NA","NA",5
"LF1",47,"NA","NA","Sh",53.7,7.9,264,"NA","NA","NA",5
"LF1",49,"NA","NA","Sh",45.2,19.1,57,"NA","NA","NA",5
"LF1",50,"NA","NA","Sh",33.5,14.3,62,"NA","NA","NA",5
"LF1",51,"NA","NA","Sh",58.5,3.9,97,"NA","NA","NA",5
"LF1",52,"ACRU","codominant","Lo",23.7,2.5,242,3871,13.7,282,1
"LF1",53,"NA","NA","St",53.9,14.4,282,"NA","NA","NA",4
"LF1",54,"NA","NA","Sh",43.2,10.7,244,"NA","NA","NA",5
"LF1",55,"NA","NA","Sh",51.7,15.9,244,"NA","NA","NA",5
"LF1",56,"QURU","NA","Sh",34,14.1,184,"NA","NA","NA",5
"LF1",57,"QURU","suppressed","Lo",14.6,6.1,258,3847,8.2,172,3
"LF1",58,"NA","NA","Sh",34.3,15.6,147,"NA","NA","NA",5
"LF1",59,"NA","NA","Sh",23.5,18.8,150,"NA","NA","NA",5
"LF1",60,"NA","NA","Sh",34.6,16.3,126,"NA","NA","NA",5
"LF1",62,"NA","NA","Sh",42.6,15.1,84,"NA","NA","NA",5
"LF1",63,"NA","NA","Sh",33.3,17.6,100,"NA","NA","NA",5
"LF1",64,"NA","NA","Sh",52.8,4.3,100,"NA","NA","NA",5
"LF2",1,"ACRU","intermediate","Li",19.4,8.4,48,1576,"NA","NA","NA"
"LF2",2,"BEAL","suppressed","Li",13,9.9,18,1568,"NA","NA","NA"
"LF2",3,"ACRU","suppressed","dead",16.2,9.9,24,1572,"NA","NA","NA"
"LF2",4,"ACRU","intermediate","Li",21.6,12.1,50,1595,"NA","NA","NA"
"LF2",5,"BEAL","suppressed","Li",11,12.1,54,1596,"NA","NA","NA"
"LF2",6,"BEAL","suppressed","Li",13.9,12.1,62,1599,"NA","NA","NA"
"LF2",7,"ACRU","suppressed","dead",11.5,6.3,84,1583,"NA","NA","NA"
"LF2",8,"QURU","dominant","Li",53.8,3.8,110,1883,"NA","NA","NA"
"LF2",9,"QURU","intermediate","Li",31.2,4.3,118,1886,"NA","NA","NA"
"LF2",10,"QURU","dominant","Li",58.4,7.4,152,1888,"NA","NA","NA"
"LF2",11,"QURU","codominant","Li",38.2,11.2,168,1878,"NA","NA","NA"
"LF2",12,"ACRU","suppressed","Li",12.2,7.3,182,1863,"NA","NA","NA"
"LF2",13,"FAGR","suppressed","Li",13.1,9.4,178,2007,"NA","NA","NA"
"LF2",14,"ACRU","intermediate","Li",23.9,9.4,136,1904,"NA","NA","NA"
"LF2",15,"BEAL","suppressed","Li",13.7,8,186,2168,"NA","NA","NA"
"LF2",16,"ACRU","suppressed","Li",15.7,8.1,206,2156,"NA","NA","NA"
"LF2",17,"QURU","intermediate","Li",31.3,10.7,200,2154,"NA","NA","NA"
"LF2",18,"ACRU","suppressed","Li",16.3,12.1,238,2129,"NA","NA","NA"
"LF2",19,"ACRU","suppressed","Li",23.2,11.6,264,2116,"NA","NA","NA"
"LF2",20,"QURU","dominant","Li",49.4,12.2,260,2117,"NA","NA","NA"
"LF2",21,"QURU","intermediate","Li",36.1,11.7,268,2114,"NA","NA","NA"
"LF2",22,"ACRU","intermediate","Li",21.2,4.6,316,1841,"NA","NA","NA"
"LF2",23,"FAGR","suppressed","Li",13.4,4.2,0,1859,"NA","NA","NA"
"LF2",24,"ACRU","suppressed","Li",15.2,7.5,350,1852,"NA","NA","NA"
"LF2",25,"QURU","codominant","Li",58.5,8.6,350,1847,"NA","NA","NA"
"LF2",26,"QURU","codominant","Li",50.9,8.4,332,1840,"NA","NA","NA"
"LF2",27,"ACRU","suppressed","dead",16.1,8.3,322,1836,"NA","NA","NA"
"LF2",28,"ACRU","intermediate","Li",22.2,11.8,300,1812,"NA","NA","NA"
"LF2",29,"QURU","suppressed","Li",58.1,12.7,304,1810,"NA","NA","NA"
"LF2",30,"ACRU","intermediate","Li",20,12.2,10,1560,"NA","NA","NA"
"LF2",31,"ACRU","suppressed","Li",10.8,12.8,242,1837,"NA","NA","NA"
"LF2",32,"ACRU","suppressed","Li",24.5,18.3,28,1580,"NA","NA","NA"
"LF2",33,"QURU","codominant","Li",42.8,20,48,1620,"NA","NA","NA"
"LF2",34,"QURU","codominant","Li",55.9,14.1,39,1593,"NA","NA","NA"
"LF2",35,"BELE","suppressed","Li",23.8,17,53,1616,"NA","NA","NA"
"LF2",36,"QURU","dominant","Li",76.5,19.2,86,1654,"NA","NA","NA"
"LF2",37,"ACRU","intermediate","Li",25.2,20,102,1671,"NA","NA","NA"
"LF2",38,"QURU","codominant","Li",53.1,18.1,181,2117,"NA","NA","NA"
"LF2",39,"QURU","codominant","Li",45.4,13.6,196,2160,"NA","NA","NA"
"LF2",40,"ACRU","suppressed","Li",25.6,18.4,195,2163,"NA","NA","NA"
"LF2",41,"QUVE","codominant","Li",46.3,16,208,2160,"NA","NA","NA"
"LF2",42,"QURU","codominant","Li",50.5,13.9,213,2145,"NA","NA","NA"
"LF2",43,"ACRU","intermediate","Li",25.7,18.5,234,2104,"NA","NA","NA"
"LF2",44,"ACRU","codominant","Li",23.9,17.1,248,2103,"NA","NA","NA"
"LF2",45,"ACRU","suppressed","Sn",25.7,17.5,266,2116,"NA","NA","NA"
"LF2",46,"QURU","codominant","Li",39.8,15.5,294,1791,"NA","NA","NA"
"LF2",47,"QURU","intermediate","Li",33.5,18.7,306,1782,"NA","NA","NA"
"LF2",48,"ACRU","intermediate","Li",29.4,18.2,320,1792,"NA","NA","NA"
"LF2",49,"QURU","codominant","Li",44.6,18.2,339,1816,"NA","NA","NA"
"LF2",50,"QURU","codominant","Li",49.6,17.2,349,1824,"NA","NA","NA"
"LF2",51,"NA","NA","St",16.2,1.9,324,"NA","NA","NA",5
"LF2",52,"QURU","codominant","Lo",24.7,6.5,10,1564,14.4,326,4
"LF2",53,"ACRU","codominant","Lo",13.5,8.8,330,"NA",10,322,3
"LF2",54,"ACRU","codominant","Sn",20,19.2,324,1799,"NA","NA",3
"LF2",55,"ACRU","suppressed","Lo",13.5,10.2,34,"NA",9.7,6,2
"LF2",56,"QURU","codominant","Lo",20.8,14.2,70,"NA",16.1,90,4
"LF2",57,"NA","codominant","Lo",33.7,8.2,104,"NA",6,124,5
"LF2",58,"ACRU","suppressed","Sn",10.2,6.3,310,"NA","NA","NA",4
"LF2",59,"ACRU","suppressed","Lo",10,11.3,316,1833,16.2,292,1
"LF2",60,"NA","NA","Sh",46.1,14.1,324,"NA","NA","NA",5
"LF2",61,"NA","NA","Sh",48.3,8.5,253,"NA","NA","NA",5
"LF2",62,"ACRU","codominant","Lo",31.3,20,250,2096,32.1,225,3
"LF2",63,"QURU","codominant","Sn",28.8,17.9,279,"NA",22.8,256,3
"LF2",64,"QURU","suppressed","Lo",17.7,4.2,178,"NA",7.8,192,5
"LF2",65,"NA","codominant","Lo",20,7.5,190,"NA",10.9,220,5
"LF2",66,"NA","NA","Sh",40.2,17,204,"NA","NA","NA",5
"LF2",67,"QURU","codominant","Lo",34.9,18.5,150,"NA",18.2,184,3
"LF2",68,"NA","NA","Sh",27.7,16.2,142,"NA","NA","NA",5
"LF2",69,"NA","NA","Sh",42.7,10.9,158,"NA","NA","NA",5
"LF2",70,"NA","NA","Sh",52.5,8.8,150,"NA","NA","NA",5
"LF2",71,"NA","NA","Sh",48.7,1.8,156,"NA","NA","NA",5
"LF3",1,"QURU","codominant","Li",37.9,10,356,4169,"NA","NA","NA"
"LF3",2,"QURU","intermediate","Li",19.8,11.2,16,997,"NA","NA","NA"
"LF3",3,"FAGR","suppressed","Li",20.3,7.4,22,1006,"NA","NA","NA"
"LF3",4,"QURU","codominant","Li",32.9,0.6,58,989,"NA","NA","NA"
"LF3",5,"QURU","intermediate","Li",19,6.6,70,1016,"NA","NA","NA"
"LF3",6,"QURU","dominant","Li",61,11.1,70,1052,"NA","NA","NA"
"LF3",7,"HAVI","suppressed","Li",10.2,9.1,88,1169,"NA","NA","NA"
"LF3",8,"QURU","intermediate","Li",24.5,12.4,40,1030,"NA","NA","NA"
"LF3",9,"ACRU","dominant","Li",35.5,8.3,180,1208,"NA","NA","NA"
"LF3",10,"FAGR","dominant","dead",46.3,9.7,156,1211,"NA","NA","NA"
"LF3",11,"ACRU","intermediate","Li",35.7,11.2,124,1200,"NA","NA","NA"
"LF3",12,"PIST","suppressed","Li",25.6,12.2,102,1198,"NA","NA","NA"
"LF3",13,"ACRU","suppressed","Li",15.8,8.5,94,1202,"NA","NA","NA"
"LF3",14,"QURU","codominant","Li",48.5,1.7,250,4800,"NA","NA","NA"
"LF3",15,"BEAL","suppressed","Li",10.8,2.6,212,4801,"NA","NA","NA"
"LF3",16,"ACRU","suppressed","dead",13.3,4.3,218,4797,"NA","NA","NA"
"LF3",17,"ACRU","dominant","Li",50,10.9,186,4807,"NA","NA","NA"
"LF3",18,"QURU","intermediate","dead",22.2,9.3,252,4793,"NA","NA","NA"
"LF3",19,"QURU","dominant","Li",39.6,11.3,268,4758,"NA","NA","NA"
"LF3",20,"BEAL","suppressed","Li",10.4,10.8,236,5652,"NA","NA","NA"
"LF3",21,"QURU","dominant","Li",58.9,12.8,310,4114,"NA","NA","NA"
"LF3",22,"QURU","intermediate","Li",24.8,10.7,298,4112,"NA","NA","NA"
"LF3",23,"QURU","intermediate","Li",22.3,8.2,318,4141,"NA","NA","NA"
"LF3",24,"ACRU","suppressed","Li",17.5,10,318,4132,"NA","NA","NA"
"LF3",25,"ACRU","suppressed","Li",15.4,9.8,280,4124,"NA","NA","NA"
"LF3",26,"QURU","suppressed","Li",18.8,12,272,4102,"NA","NA","NA"
"LF3",27,"QURU","codominant","Li",36.1,12.2,358,4173,"NA","NA","NA"
"LF3",28,"QURU","suppressed","Li",26,13.7,20,995,"NA","NA","NA"
"LF3",29,"QURU","codominant","Li",36.1,15.8,28,1013,"NA","NA","NA"
"LF3",30,"QURU","intermediate","Sn",27.7,17.4,60,1062,"NA","NA","NA"
"LF3",31,"QURU","dominant","Li",51,15.5,56,1049,"NA","NA","NA"
"LF3",32,"QURU","codominant","Li",48.8,18.9,83,1097,"NA","NA","NA"
"LF3",33,"QURU","codominant","Li",34.4,16.1,92,1084,"NA","NA","NA"
"LF3",34,"QURU","codominant","Li",35.1,19.2,121,1195,"NA","NA","NA"
"LF3",35,"ACRU","intermediate","Li",27.7,19.8,128,1213,"NA","NA","NA"
"LF3",36,"ACRU","codominant","Li",29.6,16,146,1235,"NA","NA","NA"
"LF3",37,"QURU","codominant","Li",46.5,17.9,171,1245,"NA","NA","NA"
"LF3",38,"QURU","codominant","Li",46.7,17.7,174,1242,"NA","NA","NA"
"LF3",39,"QURU","codominant","Li",36.8,15.5,172,1241,"NA","NA","NA"
"LF3",40,"QURU","codominant","Li",41.9,17.2,197,4809,"NA","NA","NA"
"LF3",41,"QURU","codominant","Li",45.4,14.8,220,4790,"NA","NA","NA"
"LF3",42,"QURU","intermediate","Li",32,14,227,4780,"NA","NA","NA"
"LF3",43,"QURU","codominant","Li",54.8,15.4,246,4754,"NA","NA","NA"
"LF3",44,"QURU","intermediate","Li",27.7,18.4,282,4721,"NA","NA","NA"
"LF3",45,"QURU","dominant","Li",42.2,16.2,298,4077,"NA","NA","NA"
"LF3",46,"ACRU","suppressed","Li",22.7,15.4,310,4092,"NA","NA","NA"
"LF3",47,"QUVE","codominant","Li",31.3,20,315,4063,"NA","NA","NA"
"LF3",48,"QUVE","intermediate","Li",24.5,13.4,321,4107,"NA","NA","NA"
"LF3",49,"ACRU","suppressed","Li",21.1,17.1,332,4098,"NA","NA","NA"
"LF3",50,"QURU","codominant","Li",33.7,19.6,359,4161,"NA","NA","NA"
"LF3",51,"QURU","codominant","Li",46.4,18.9,355,4153,"NA","NA","NA"
"LF3",52,"QURU","suppressed","Sn",20.1,16.2,5,4168,"NA","NA","NA"
"LF3",53,"QURU","suppressed","Li",25.9,16,358,4164,"NA","NA","NA"
"LF3",54,"FAGR","intermediate","Li",23.6,17,354,4150,"NA","NA","NA"
"LF3",55,"QURU","suppressed","Lo",13,1.3,350,988,9.2,268,3
"LF3",56,"QURU","codominant","Lo",21.1,5.6,292,4146,18.6,242,3
"LF3",57,"QURU","codominant","Sn",22.7,10.2,276,4770,"NA","NA",3
"LF3",58,"QURU","codominant","Lo",21.6,8.7,220,4793,12.5,302,3
"LF3",59,"QURU","suppressed","Lo",13.6,8.6,269,4762,7.8,230,3
"LF3",60,"QURU","suppressed","Lo",13.4,10.3,254,"NA",15.5,232,4
"LF3",61,"QURU","suppressed","Lo",19.3,3,312,4158,11.6,352,4
"LF3",62,"NA","NA","Sh",53.6,19.3,300,"NA","NA","NA",5
"LF3",63,"NA","NA","Sh",56.8,18.3,302,"NA","NA","NA",5
"LF3",64,"QURU","suppressed","Lo",17,12.2,287,4100,27.3,302,4
"LF3",65,"NA","NA","St",38.1,19.8,290,"NA","NA","NA",5
"LF3",66,"NA","NA","Sh",52.4,16.4,256,"NA","NA","NA",5
"LF3",67,"NA","NA","Sh",47,13.3,220,"NA","NA","NA",5
"LF3",68,"QURU","codominant","Lo",14.4,4.8,358,4172,9.6,158,3
"LF3",69,"QURU","suppressed","Lo",15.2,7.5,151,1209,18.1,92,3
"LF3",70,"ACRU","suppressed","Lo",12.1,6.8,96,"NA",8.2,140,2
"LF3",71,"QURU","codominant","Lo",11.9,5.7,20,"NA",10.6,156,3
"LF3",72,"QURU","suppressed","Sn",16.2,8.6,347,4165,"NA","NA",3
"LF3",73,"NA","NA","St",39.4,17.8,348,"NA","NA","NA",5
"LF3",74,"NA","NA","Sh",39.8,18.9,342,"NA","NA","NA",5
"LF3",75,"NA","NA","Sh",48.9,17.1,18,"NA","NA","NA",5
"LF3",76,"NA","NA","Sh",45.3,16.2,346,"NA","NA","NA",5
"LF3",77,"NA","NA","Sh",39.6,14.3,44,"NA","NA","NA",5
"LF3",78,"NA","NA","Sh",53,12.9,62,"NA","NA","NA",5
"LF3",79,"NA","NA","St",27.6,18.2,78,"NA","NA","NA",5
"LF3",80,"QURU","codominant","Lo",20.5,18.3,78,1082,14.7,122,3
"LF3",81,"NA","NA","Sh",46,19.8,120,"NA","NA","NA",5
"LF3",82,"NA","NA","Sh",45.8,19.8,118,"NA","NA","NA",5
"LF3",83,"NA","NA","St",38.3,16.6,160,"NA","NA","NA",5
"LF3",84,"NA","NA","Sh",56.2,13.4,150,"NA","NA","NA",5
"LF3",85,"NA","NA","Sh",55.2,10.2,74,"NA","NA","NA",5
"LF3",86,"NA","NA","St",19.7,2.3,60,"NA","NA","NA",5
